"result","id","comment","label"
"toxic",1616,"확실한건 뉴스가 팩트는 없고 카더라 뉴스만 있음",1
"toxic",1617,"최근의 러시아 기사는 거의다가 가짜 로 미국편에서 쓴 소설이 대부분이다",1
"toxic",1618,"애초에 러시아가 세계1위 다민족 국가라서 내부에 분쟁이 많은 나라임...",1
"toxic",1619,"푸틴이 제거되면 러시아가 내전이 발생할 수도 있고, 아님 외부로 공격을 돌릴 수도 있고... 변수가 더 많아 지게 되긴 할듯...",1
"toxic",1620,"변수가 많다고 해서 저렇게 마냥 푸틴의 독재하에서, 세계적으로 고립되고, 전쟁이나 하는 나라로 마냥 남게 되면, 그건 러시아에게있어 역사에 기록될 비참한 시기가 될것이고, 경재적으로도 세계로부터 외면당하면서 후진국으로 몰리게 되지 않겠어요!",1
"toxic",1621,"사실 푸틴 이후 러시아 경제는 오히려 좋아졌었음",1
"toxic",1622,"좋아졌음 뭐함 한순간에 말아먹엇는데",1
"not toxic",1623,"서방도 푸틴이 계속 있는게 이득이라 판단하는 내용도 많이 나왔었고....",0
"toxic",1624,"특히 미국이 제일 싫어하는 변수는 내전으로 인해 러시아 핵무기 분실되는 일이 생기는거임...",1
"toxic",1625,"러시아 저 정치인들은 무식하다고 밖에 할수가 없네요",1
"not toxic",1626,"ㄴㄴㄴ 러시아를 몰라서 그런거임",0
"toxic",1627,"러시아는 국민들도 정치에 별관심이 없음 일본처럼 도둑놈들이많아 누가 되도 똑같다고생각함",1
"toxic",1628,"그나마 푸틴이 나아서",1
"toxic",1629,"거기서 하나로 통합하는 것 부터가 일반인은 힘듬",1
"toxic",1630,"어유, 저 바이든, 정말 속이 탄다. 나의 4년을 잃어버린것 같다.",1
"toxic",1631,"거기다 농업 인구가 많으면 더 힘듬... 미국도 한국에 쌀을 강매 하듯이 여러나라게 강매하고 있는 이유가 빈부격차 때문인데....",1
"toxic",1632,"러시아는 민족도 가장 많은데 그런 빈부격차 차이를 달래는게 쉬운게 아님",1
"toxic",1633,"푸틴의 가슴속에는 러시아 국민들의 삶에대한 생각은 손꼽만큼도 없을 거야, 그냥 자신의 권력, 부, 자신의 행복만이 자신의 모든 결정이 원천일 겁니다.",1
"not toxic",1634,"그 또한 지나가리라...",0
"toxic",1635,"푸틴이 정권 잡고 GDP가 8~9배가 뛰었음",1
"toxic",1636,"푸틴과 같은 인간이 우리나라에서 대통령질을 하고 있으면, 얼마나 많는 데모가 일어 날지 상상해 보십시요.",1
"toxic",1637,"대구 만 할까....",1
"toxic",1638,"우리나라 데모는 전국에서 일어 납니다. 우리나라 사람들은 모두 똑같거든요.",1
"toxic",1639,"그건 땅이 작아서 모여서 해서 그런건데?ㅋㅋ",1
"toxic",1640,"ㅋㅋㅋㅋㅋㅋ 누가봐도 암살인데",1
"toxic",1641,"이걸 뭘 이야기하고 자빠져있누",1
"toxic",1642,"땅이 작아서 그런게 아니라, 같은 민족이고 같은 문화속에서 대대 손손 살아 왔기에 생각도 같겁니다.",1
"toxic",1643,"할짓 드럽게들없네",1
"toxic",1644,"푸틴의 과거행적을봐라",1
"toxic",1645,"암살하고도 남을놈이지",1
"toxic",1646,"그냥 땅이 작아서야",1
"toxic",1647,"괜히 KGB 출신이 아니여",1
"not toxic",1648,"내가 대한민국 사람인것이 자랑스럽습니다.",0
"toxic",1649,"그리고 요즘 시대에 뭔 민족드립이냐... 민족주의자도 아니고",1
"not toxic",1650,"우크라이나도 피서철 이라 해수욕장 개장했었네;;;",0
"not toxic",1652,"남자들은 끌려가 전쟁터에서 싸우는데... 해변에서 해수욕 즐기는 사람들과 같이 보니... 좀 이건 아닌거 같은데....",0
"toxic",1653,"난 CIA에 한표",1
"not toxic",1654,"이 재명 ㅊ",0
"toxic",1655,"오늘 업로드 영상은 좀 충격이다",1
"toxic",1656,"최전선 근처에서 해수욕 즐기는 우크라이나 사람들 뉴스랑, 밤에는 바or술집에 손님이 만원이라는 뉴스 ㅎㄷㄷㄷ",1
"toxic",1657,"역시 한국 뉴스만 봐서는 이런거 모르고 넘어갈뻔 했네...",1
"toxic",1658,"나도CIA에 한표",1
"toxic",1659,"왜냐고? 프리고진은 푸틴의 상대가 안되고 득보다 실이 더 많다.",1
"toxic",1660,"그거 보단 안보이는 곳에서 제거하는게 푸틴한테 더 유리한데 굳이 저렇게 안죽이지",1
"toxic",1661,"지금 나오는 영상 등 나도 구해서 원본 봤는데",1
"toxic",1662,"시체도 뚱뚱해 보이는 사람은 안보였음",1
"toxic",1663,"토막난 시체 찍힌 영상은 차단 먹을테니 뉴스에 나온것만 업로드해야겠다",1
"toxic",1664,"프리고진은 배신한것이 아니고 그냥 까분것이고 프리고진이 그런 위협을 느꼈으면 전용기 접근하는자들을 무심코 볼 인간이 아니다.",1
"not toxic",1665,"자세한건 우린 모르니깐... 뭐...",0
"toxic",1666,"확실한건 뉴스가 팩트는 없고 카더라 뉴스만 있음",1
"toxic",1667,"최근의 러시아 기사는 거의다가 가짜 로 미국편에서 쓴 소설이 대부분이다",1
"toxic",1668,"Piyasadaki para hacmi nedir?",1
"toxic",1669,"NAS NE OLDU NAS",1
"toxic",1670,"şehit polis var",1
"toxic",1671,"şimdilik nas nadasa bırakıldı",1
"toxic",1672,"애초에 러시아가 세계1위 다민족 국가라서 내부에 분쟁이 많은 나라임...",1
"toxic",1673,"푸틴이 제거되면 러시아가 내전이 발생할 수도 있고, 아님 외부로 공격을 돌릴 수도 있고... 변수가 더 많아 지게 되긴 할듯...",1
"toxic",1674,"변수가 많다고 해서 저렇게 마냥 푸틴의 독재하에서, 세계적으로 고립되고, 전쟁이나 하는 나라로 마냥 남게 되면, 그건 러시아에게있어 역사에 기록될 비참한 시기가 될것이고, 경재적으로도 세계로부터 외면당하면서 후진국으로 몰리게 되지 않겠어요!",1
"toxic",1675,"사실 푸틴 이후 러시아 경제는 오히려 좋아졌었음",1
"toxic",1676,"좋아졌음 뭐함 한순간에 말아먹엇는데",1
"not toxic",1677,"서방도 푸틴이 계속 있는게 이득이라 판단하는 내용도 많이 나왔었고....",0
"toxic",1678,"특히 미국이 제일 싫어하는 변수는 내전으로 인해 러시아 핵무기 분실되는 일이 생기는거임...",1
"toxic",1679,"러시아 저 정치인들은 무식하다고 밖에 할수가 없네요",1
"not toxic",1680,"ㄴㄴㄴ 러시아를 몰라서 그런거임",0
"toxic",1681,"러시아는 국민들도 정치에 별관심이 없음 일본처럼 도둑놈들이많아 누가 되도 똑같다고생각함",1
"toxic",1682,"그나마 푸틴이 나아서",1
"toxic",1683,"거기서 하나로 통합하는 것 부터가 일반인은 힘듬",1
"toxic",1684,"어유, 저 바이든, 정말 속이 탄다. 나의 4년을 잃어버린것 같다.",1
"toxic",1685,"거기다 농업 인구가 많으면 더 힘듬... 미국도 한국에 쌀을 강매 하듯이 여러나라게 강매하고 있는 이유가 빈부격차 때문인데....",1
"toxic",1686,"러시아는 민족도 가장 많은데 그런 빈부격차 차이를 달래는게 쉬운게 아님",1
"toxic",1687,"푸틴의 가슴속에는 러시아 국민들의 삶에대한 생각은 손꼽만큼도 없을 거야, 그냥 자신의 권력, 부, 자신의 행복만이 자신의 모든 결정이 원천일 겁니다.",1
"not toxic",1688,"그 또한 지나가리라...",0
"toxic",1689,"푸틴이 정권 잡고 GDP가 8~9배가 뛰었음",1
"toxic",1690,"푸틴과 같은 인간이 우리나라에서 대통령질을 하고 있으면, 얼마나 많는 데모가 일어 날지 상상해 보십시요.",1
"toxic",1691,"대구 만 할까....",1
"toxic",1692,"우리나라 데모는 전국에서 일어 납니다. 우리나라 사람들은 모두 똑같거든요.",1
"toxic",1693,"그건 땅이 작아서 모여서 해서 그런건데?ㅋㅋ",1
"toxic",1694,"ㅋㅋㅋㅋㅋㅋ 누가봐도 암살인데",1
"toxic",1695,"이걸 뭘 이야기하고 자빠져있누",1
"toxic",1696,"땅이 작아서 그런게 아니라, 같은 민족이고 같은 문화속에서 대대 손손 살아 왔기에 생각도 같겁니다.",1
"toxic",1697,"할짓 드럽게들없네",1
"toxic",1698,"푸틴의 과거행적을봐라",1
"toxic",1699,"암살하고도 남을놈이지",1
"toxic",1700,"그냥 땅이 작아서야",1
"toxic",1701,"괜히 KGB 출신이 아니여",1
"not toxic",1702,"내가 대한민국 사람인것이 자랑스럽습니다.",0
"toxic",1703,"그리고 요즘 시대에 뭔 민족드립이냐... 민족주의자도 아니고",1
"not toxic",1704,"우크라이나도 피서철 이라 해수욕장 개장했었네;;;",0
"toxic",1705,"프리고진 비행기 추락이 푸틴 짖이 아니라고 생각하는 사람?",1
"not toxic",1706,"남자들은 끌려가 전쟁터에서 싸우는데... 해변에서 해수욕 즐기는 사람들과 같이 보니... 좀 이건 아닌거 같은데....",0
"toxic",1707,"난 CIA에 한표",1
"not toxic",1708,"이 재명 ㅊ",0
"toxic",1709,"오늘 업로드 영상은 좀 충격이다",1
"toxic",1710,"최전선 근처에서 해수욕 즐기는 우크라이나 사람들 뉴스랑, 밤에는 바or술집에 손님이 만원이라는 뉴스 ㅎㄷㄷㄷ",1
"toxic",1711,"역시 한국 뉴스만 봐서는 이런거 모르고 넘어갈뻔 했네...",1
"toxic",1712,"나도CIA에 한표",1
"toxic",1713,"왜냐고? 프리고진은 푸틴의 상대가 안되고 득보다 실이 더 많다.",1
"toxic",1714,"그거 보단 안보이는 곳에서 제거하는게 푸틴한테 더 유리한데 굳이 저렇게 안죽이지",1
"toxic",1715,"지금 나오는 영상 등 나도 구해서 원본 봤는데",1
"toxic",1716,"시체도 뚱뚱해 보이는 사람은 안보였음",1
"toxic",1717,"토막난 시체 찍힌 영상은 차단 먹을테니 뉴스에 나온것만 업로드해야겠다",1
"toxic",1718,"프리고진은 배신한것이 아니고 그냥 까분것이고 프리고진이 그런 위협을 느꼈으면 전용기 접근하는자들을 무심코 볼 인간이 아니다.",1
"not toxic",1719,"자세한건 우린 모르니깐... 뭐...",0
"toxic",1720,"확실한건 뉴스가 팩트는 없고 카더라 뉴스만 있음",1
"toxic",1721,"최근의 러시아 기사는 거의다가 가짜 로 미국편에서 쓴 소설이 대부분이다",1
"toxic",1722,"Piyasadaki para hacmi nedir?",1
"toxic",1723,"NAS NE OLDU NAS",1
"toxic",1724,"şehit polis var",1
"toxic",1725,"şimdilik nas nadasa bırakıldı",1
"toxic",1726,"Lol",1
"toxic",1727,"Video of Lenin being cleaned on YouTube",1
"toxic",1728,"It's a interesting video",1
"toxic",1729,"""The pilot had a heat attack""",1
"not toxic",1730,"Troll factory shut down",0
"toxic",1731,"They have lab coats so it's totally professional",1
"not toxic",1732,"2 dayz still no response he dead alright...good job",0
"toxic",1733,"What country you think has the most trolls?",1
"toxic",1734,"Put🤡in said he dead.",1
"toxic",1735,"I say Norway",1
"not toxic",1736,"Russia",0
"not toxic",1737,"China",0
"toxic",1738,"bunch of fruity fruits",1
"toxic",1739,"NthKorea",1
"not toxic",1740,"DPRK alphabet people gaywads",0
"not toxic",1741,"India",0
"not toxic",1742,"Usa",0
"not toxic",1743,"Brazil",0
"toxic",1744,"yeah there are like 2-3 billion of them curry fruits",1
"toxic",1745,"Great Britain",1
"toxic",1746,"americA did it to blame putin",1
"not toxic",1747,"South Africa",0
"toxic",1748,"All do their jobs",1
"toxic",1749,"I'm not sure mates in UK can spell",1
"not toxic",1750,"Plobably",0
"toxic",1751,"South Africa too busy recovering from Nelson Mandala failures",1
"not toxic",1752,"they got prigozhinz inner circle....shot putin wagner iz gonna be pissed",0
"not toxic",1753,"😄",0
"not toxic",1754,"Brazil on dial up",0
"toxic",1755,"Wagner is defanged but Russian morale in the toilet",1
"toxic",1756,"great at selling hotsogs",1
"toxic",1757,"800,000,000 rubles or $800 USA or best offer",1
"toxic",1758,"I bet someone could get for a Big Mac and some penicillin",1
"not toxic",1759,"256 wanking",0
"toxic",1760,"Correction,watching",1
"toxic",1761,"Clowns 🤡",1
"not toxic",1762,"🌸🌺🎉",0
"toxic",1763,"Fool",1
"toxic",1764,"Rest In Peace",1
"toxic",1765,"Poor souls",1
"toxic",1766,"rest in piss",1
"toxic",1767,"220 of them are alphabet gaywad fruity fruits.",1
"not toxic",1768,"Hahahahaha",0
"toxic",1769,"P I g s",1
"toxic",1770,"Curry scank breath is back",1
"toxic",1771,"are you pro Russian? he was literally a traitor",1
"toxic",1772,"Give up your obsession",1
"toxic",1773,"He's Indian, his government hasn't told him to support yet.",1
"toxic",1774,"You aren’t educated or evolved",1
"toxic",1775,"Hahaha pretend",1
"toxic",1776,"애초에 러시아가 세계1위 다민족 국가라서 내부에 분쟁이 많은 나라임...",1
"toxic",1777,"푸틴이 제거되면 러시아가 내전이 발생할 수도 있고, 아님 외부로 공격을 돌릴 수도 있고... 변수가 더 많아 지게 되긴 할듯...",1
"toxic",1778,"변수가 많다고 해서 저렇게 마냥 푸틴의 독재하에서, 세계적으로 고립되고, 전쟁이나 하는 나라로 마냥 남게 되면, 그건 러시아에게있어 역사에 기록될 비참한 시기가 될것이고, 경재적으로도 세계로부터 외면당하면서 후진국으로 몰리게 되지 않겠어요!",1
"toxic",1779,"사실 푸틴 이후 러시아 경제는 오히려 좋아졌었음",1
"toxic",1780,"좋아졌음 뭐함 한순간에 말아먹엇는데",1
"not toxic",1781,"서방도 푸틴이 계속 있는게 이득이라 판단하는 내용도 많이 나왔었고....",0
"toxic",1782,"특히 미국이 제일 싫어하는 변수는 내전으로 인해 러시아 핵무기 분실되는 일이 생기는거임...",1
"toxic",1783,"러시아 저 정치인들은 무식하다고 밖에 할수가 없네요",1
"not toxic",1784,"ㄴㄴㄴ 러시아를 몰라서 그런거임",0
"toxic",1785,"러시아는 국민들도 정치에 별관심이 없음 일본처럼 도둑놈들이많아 누가 되도 똑같다고생각함",1
"toxic",1786,"그나마 푸틴이 나아서",1
"toxic",1787,"거기서 하나로 통합하는 것 부터가 일반인은 힘듬",1
"toxic",1788,"어유, 저 바이든, 정말 속이 탄다. 나의 4년을 잃어버린것 같다.",1
"toxic",1789,"거기다 농업 인구가 많으면 더 힘듬... 미국도 한국에 쌀을 강매 하듯이 여러나라게 강매하고 있는 이유가 빈부격차 때문인데....",1
"toxic",1790,"러시아는 민족도 가장 많은데 그런 빈부격차 차이를 달래는게 쉬운게 아님",1
"toxic",1791,"푸틴의 가슴속에는 러시아 국민들의 삶에대한 생각은 손꼽만큼도 없을 거야, 그냥 자신의 권력, 부, 자신의 행복만이 자신의 모든 결정이 원천일 겁니다.",1
"not toxic",1792,"그 또한 지나가리라...",0
"toxic",1793,"푸틴이 정권 잡고 GDP가 8~9배가 뛰었음",1
"toxic",1794,"푸틴과 같은 인간이 우리나라에서 대통령질을 하고 있으면, 얼마나 많는 데모가 일어 날지 상상해 보십시요.",1
"toxic",1795,"대구 만 할까....",1
"toxic",1796,"우리나라 데모는 전국에서 일어 납니다. 우리나라 사람들은 모두 똑같거든요.",1
"toxic",1797,"그건 땅이 작아서 모여서 해서 그런건데?ㅋㅋ",1
"toxic",1798,"ㅋㅋㅋㅋㅋㅋ 누가봐도 암살인데",1
"toxic",1799,"이걸 뭘 이야기하고 자빠져있누",1
"toxic",1800,"땅이 작아서 그런게 아니라, 같은 민족이고 같은 문화속에서 대대 손손 살아 왔기에 생각도 같겁니다.",1
"toxic",1801,"할짓 드럽게들없네",1
"toxic",1802,"푸틴의 과거행적을봐라",1
"toxic",1803,"암살하고도 남을놈이지",1
"toxic",1804,"그냥 땅이 작아서야",1
"toxic",1805,"괜히 KGB 출신이 아니여",1
"not toxic",1806,"내가 대한민국 사람인것이 자랑스럽습니다.",0
"toxic",1807,"그리고 요즘 시대에 뭔 민족드립이냐... 민족주의자도 아니고",1
"not toxic",1808,"우크라이나도 피서철 이라 해수욕장 개장했었네;;;",0
"toxic",1809,"프리고진 비행기 추락이 푸틴 짖이 아니라고 생각하는 사람?",1
"toxic",1924,"is this a replay ?",1
"not toxic",1925,"prx won",0
"not toxic",1810,"남자들은 끌려가 전쟁터에서 싸우는데... 해변에서 해수욕 즐기는 사람들과 같이 보니... 좀 이건 아닌거 같은데....",0
"toxic",1811,"난 CIA에 한표",1
"not toxic",1812,"이 재명 ㅊ",0
"toxic",1813,"오늘 업로드 영상은 좀 충격이다",1
"toxic",1814,"최전선 근처에서 해수욕 즐기는 우크라이나 사람들 뉴스랑, 밤에는 바or술집에 손님이 만원이라는 뉴스 ㅎㄷㄷㄷ",1
"toxic",1815,"역시 한국 뉴스만 봐서는 이런거 모르고 넘어갈뻔 했네...",1
"toxic",1816,"나도CIA에 한표",1
"toxic",1817,"왜냐고? 프리고진은 푸틴의 상대가 안되고 득보다 실이 더 많다.",1
"toxic",1818,"그거 보단 안보이는 곳에서 제거하는게 푸틴한테 더 유리한데 굳이 저렇게 안죽이지",1
"toxic",1819,"지금 나오는 영상 등 나도 구해서 원본 봤는데",1
"toxic",1820,"시체도 뚱뚱해 보이는 사람은 안보였음",1
"toxic",1821,"토막난 시체 찍힌 영상은 차단 먹을테니 뉴스에 나온것만 업로드해야겠다",1
"toxic",1822,"프리고진은 배신한것이 아니고 그냥 까분것이고 프리고진이 그런 위협을 느꼈으면 전용기 접근하는자들을 무심코 볼 인간이 아니다.",1
"not toxic",1823,"자세한건 우린 모르니깐... 뭐...",0
"toxic",1824,"확실한건 뉴스가 팩트는 없고 카더라 뉴스만 있음",1
"toxic",1825,"최근의 러시아 기사는 거의다가 가짜 로 미국편에서 쓴 소설이 대부분이다",1
"toxic",1826,"Piyasadaki para hacmi nedir?",1
"toxic",1827,"NAS NE OLDU NAS",1
"toxic",1828,"şehit polis var",1
"toxic",1829,"şimdilik nas nadasa bırakıldı",1
"toxic",1830,"Lol",1
"toxic",1831,"Video of Lenin being cleaned on YouTube",1
"toxic",1832,"It's a interesting video",1
"toxic",1833,"""The pilot had a heat attack""",1
"not toxic",1834,"Troll factory shut down",0
"toxic",1835,"They have lab coats so it's totally professional",1
"not toxic",1836,"2 dayz still no response he dead alright...good job",0
"toxic",1837,"What country you think has the most trolls?",1
"toxic",1838,"Put🤡in said he dead.",1
"toxic",1839,"I say Norway",1
"not toxic",1840,"Russia",0
"not toxic",1841,"China",0
"toxic",1842,"bunch of fruity fruits",1
"toxic",1843,"NthKorea",1
"not toxic",1844,"DPRK alphabet people gaywads",0
"not toxic",1845,"India",0
"not toxic",1846,"Usa",0
"not toxic",1847,"Brazil",0
"toxic",1848,"yeah there are like 2-3 billion of them curry fruits",1
"toxic",1849,"Great Britain",1
"toxic",1850,"americA did it to blame putin",1
"not toxic",1851,"South Africa",0
"toxic",1852,"All do their jobs",1
"toxic",1853,"I'm not sure mates in UK can spell",1
"not toxic",1854,"Plobably",0
"toxic",1855,"South Africa too busy recovering from Nelson Mandala failures",1
"not toxic",1856,"they got prigozhinz inner circle....shot putin wagner iz gonna be pissed",0
"not toxic",1857,"😄",0
"not toxic",1858,"Brazil on dial up",0
"toxic",1859,"Wagner is defanged but Russian morale in the toilet",1
"toxic",1860,"great at selling hotsogs",1
"toxic",1861,"800,000,000 rubles or $800 USA or best offer",1
"toxic",1862,"I bet someone could get for a Big Mac and some penicillin",1
"not toxic",1863,"256 wanking",0
"toxic",1864,"Correction,watching",1
"toxic",1865,"Clowns 🤡",1
"not toxic",1866,"🌸🌺🎉",0
"toxic",1867,"Fool",1
"toxic",1868,"Rest In Peace",1
"toxic",1869,"Poor souls",1
"toxic",1870,"rest in piss",1
"toxic",1871,"220 of them are alphabet gaywad fruity fruits.",1
"not toxic",1872,"Hahahahaha",0
"toxic",1873,"P I g s",1
"toxic",1874,"Curry scank breath is back",1
"toxic",1875,"are you pro Russian? he was literally a traitor",1
"toxic",1876,"Give up your obsession",1
"toxic",1877,"He's Indian, his government hasn't told him to support yet.",1
"toxic",1878,"You aren’t educated or evolved",1
"toxic",1879,"Hahaha pretend",1
"toxic",1880,"i wish loud at least beat eg",1
"toxic",1881,"gg",1
"toxic",1882,"Pansy is so exhaustingly biased.",1
"not toxic",1883,"loud suck\",0
"not toxic",1884,"who won first match",0
"toxic",1885,"that's the fnatic i wanted to see for the entire game",1
"toxic",1886,"loud vs eg",1
"toxic",1887,"loud win first map",1
"toxic",1888,"derke op",1
"toxic",1889,"@Noke man, cant we asian people see it in peace? why did you have to spoil it for us?",1
"toxic",1890,"gg",1
"toxic",1891,"gg",1
"not toxic",1892,"Who won",0
"toxic",1893,"GG",1
"not toxic",1894,"FNC yeee",0
"toxic",1895,"and after this they lose lol",1
"toxic",1896,"Auto THROWW",1
"not toxic",1897,"nc",0
"toxic",1898,"Wow. They are doing it. Gg",1
"toxic",1899,"gg",1
"toxic",1900,"true.. please be nice. we want to enjoy the rebrodcast bro, dont be spoiler:face-fuchsia-poop-shape:",1
"toxic",1901,"gg",1
"toxic",1902,"GG",1
"not toxic",1903,"WE NOW THEY LOSE JUST STOP",0
"toxic",1904,"just close the chat if u dont want spoilers",1
"toxic",1905,"is this replay?",1
"toxic",1906,"thats how you win a game",1
"toxic",1907,"just close the chat my genius guys and stop complaining",1
"not toxic",1908,"gada obat anjim",0
"not toxic",1909,"who won the game",0
"toxic",1910,"lets go fnatic",1
"toxic",1911,"who won between eg and prx???",1
"toxic",1912,"prx",1
"not toxic",1913,"PRX EZPZ WON",0
"toxic",1914,"prx",1
"not toxic",1915,"PRXX",0
"toxic",1916,"prx",1
"toxic",1917,"prx",1
"not toxic",1918,"m",0
"toxic",1919,"FNC > LOUD",1
"toxic",1920,"prx 2 - 1 eg",1
"toxic",1921,"i know the results. but i won't spoil any of them. i just want to enjoy, and let others enjoy it too bro:face-blue-smiling:",1
"not toxic",1922,"prx won",0
"toxic",1923,"@Afnan Rizqullah what do you expect if you open the chat?",1
"toxic",1926,"this is not replay",1
"toxic",1927,"ya",1
"toxic",1928,"t is",1
"toxic",1929,"FNC > All of the teams",1
"toxic",1930,"애초에 러시아가 세계1위 다민족 국가라서 내부에 분쟁이 많은 나라임...",1
"toxic",1931,"푸틴이 제거되면 러시아가 내전이 발생할 수도 있고, 아님 외부로 공격을 돌릴 수도 있고... 변수가 더 많아 지게 되긴 할듯...",1
"toxic",1932,"변수가 많다고 해서 저렇게 마냥 푸틴의 독재하에서, 세계적으로 고립되고, 전쟁이나 하는 나라로 마냥 남게 되면, 그건 러시아에게있어 역사에 기록될 비참한 시기가 될것이고, 경재적으로도 세계로부터 외면당하면서 후진국으로 몰리게 되지 않겠어요!",1
"toxic",1933,"사실 푸틴 이후 러시아 경제는 오히려 좋아졌었음",1
"toxic",1934,"좋아졌음 뭐함 한순간에 말아먹엇는데",1
"not toxic",1935,"서방도 푸틴이 계속 있는게 이득이라 판단하는 내용도 많이 나왔었고....",0
"toxic",1936,"특히 미국이 제일 싫어하는 변수는 내전으로 인해 러시아 핵무기 분실되는 일이 생기는거임...",1
"toxic",1937,"러시아 저 정치인들은 무식하다고 밖에 할수가 없네요",1
"not toxic",1938,"ㄴㄴㄴ 러시아를 몰라서 그런거임",0
"toxic",1939,"러시아는 국민들도 정치에 별관심이 없음 일본처럼 도둑놈들이많아 누가 되도 똑같다고생각함",1
"toxic",1940,"그나마 푸틴이 나아서",1
"toxic",1941,"거기서 하나로 통합하는 것 부터가 일반인은 힘듬",1
"toxic",1942,"어유, 저 바이든, 정말 속이 탄다. 나의 4년을 잃어버린것 같다.",1
"toxic",1943,"거기다 농업 인구가 많으면 더 힘듬... 미국도 한국에 쌀을 강매 하듯이 여러나라게 강매하고 있는 이유가 빈부격차 때문인데....",1
"toxic",1944,"러시아는 민족도 가장 많은데 그런 빈부격차 차이를 달래는게 쉬운게 아님",1
"toxic",1945,"푸틴의 가슴속에는 러시아 국민들의 삶에대한 생각은 손꼽만큼도 없을 거야, 그냥 자신의 권력, 부, 자신의 행복만이 자신의 모든 결정이 원천일 겁니다.",1
"not toxic",1946,"그 또한 지나가리라...",0
"toxic",1947,"푸틴이 정권 잡고 GDP가 8~9배가 뛰었음",1
"toxic",1948,"푸틴과 같은 인간이 우리나라에서 대통령질을 하고 있으면, 얼마나 많는 데모가 일어 날지 상상해 보십시요.",1
"toxic",1949,"대구 만 할까....",1
"toxic",1950,"우리나라 데모는 전국에서 일어 납니다. 우리나라 사람들은 모두 똑같거든요.",1
"toxic",1951,"그건 땅이 작아서 모여서 해서 그런건데?ㅋㅋ",1
"toxic",1952,"ㅋㅋㅋㅋㅋㅋ 누가봐도 암살인데",1
"toxic",1953,"이걸 뭘 이야기하고 자빠져있누",1
"toxic",1954,"땅이 작아서 그런게 아니라, 같은 민족이고 같은 문화속에서 대대 손손 살아 왔기에 생각도 같겁니다.",1
"toxic",1955,"할짓 드럽게들없네",1
"toxic",1956,"푸틴의 과거행적을봐라",1
"toxic",1957,"암살하고도 남을놈이지",1
"toxic",1958,"그냥 땅이 작아서야",1
"toxic",1959,"괜히 KGB 출신이 아니여",1
"not toxic",1960,"내가 대한민국 사람인것이 자랑스럽습니다.",0
"toxic",1961,"그리고 요즘 시대에 뭔 민족드립이냐... 민족주의자도 아니고",1
"not toxic",1962,"우크라이나도 피서철 이라 해수욕장 개장했었네;;;",0
"toxic",1963,"프리고진 비행기 추락이 푸틴 짖이 아니라고 생각하는 사람?",1
"not toxic",1964,"남자들은 끌려가 전쟁터에서 싸우는데... 해변에서 해수욕 즐기는 사람들과 같이 보니... 좀 이건 아닌거 같은데....",0
"toxic",1965,"난 CIA에 한표",1
"not toxic",1966,"이 재명 ㅊ",0
"toxic",1967,"오늘 업로드 영상은 좀 충격이다",1
"toxic",1968,"최전선 근처에서 해수욕 즐기는 우크라이나 사람들 뉴스랑, 밤에는 바or술집에 손님이 만원이라는 뉴스 ㅎㄷㄷㄷ",1
"toxic",1969,"역시 한국 뉴스만 봐서는 이런거 모르고 넘어갈뻔 했네...",1
"toxic",1970,"나도CIA에 한표",1
"toxic",1971,"왜냐고? 프리고진은 푸틴의 상대가 안되고 득보다 실이 더 많다.",1
"toxic",1972,"그거 보단 안보이는 곳에서 제거하는게 푸틴한테 더 유리한데 굳이 저렇게 안죽이지",1
"toxic",1973,"지금 나오는 영상 등 나도 구해서 원본 봤는데",1
"toxic",1974,"시체도 뚱뚱해 보이는 사람은 안보였음",1
"toxic",1975,"토막난 시체 찍힌 영상은 차단 먹을테니 뉴스에 나온것만 업로드해야겠다",1
"toxic",1976,"프리고진은 배신한것이 아니고 그냥 까분것이고 프리고진이 그런 위협을 느꼈으면 전용기 접근하는자들을 무심코 볼 인간이 아니다.",1
"not toxic",1977,"자세한건 우린 모르니깐... 뭐...",0
"toxic",1978,"확실한건 뉴스가 팩트는 없고 카더라 뉴스만 있음",1
"toxic",1979,"최근의 러시아 기사는 거의다가 가짜 로 미국편에서 쓴 소설이 대부분이다",1
"toxic",1980,"Piyasadaki para hacmi nedir?",1
"toxic",1981,"NAS NE OLDU NAS",1
"toxic",1982,"şehit polis var",1
"toxic",1983,"şimdilik nas nadasa bırakıldı",1
"toxic",1984,"Lol",1
"toxic",1985,"Video of Lenin being cleaned on YouTube",1
"toxic",1986,"It's a interesting video",1
"toxic",1987,"""The pilot had a heat attack""",1
"not toxic",1988,"Troll factory shut down",0
"toxic",1989,"They have lab coats so it's totally professional",1
"not toxic",1990,"2 dayz still no response he dead alright...good job",0
"toxic",1991,"What country you think has the most trolls?",1
"toxic",1992,"Put🤡in said he dead.",1
"toxic",1993,"I say Norway",1
"not toxic",1994,"Russia",0
"not toxic",1995,"China",0
"toxic",1996,"bunch of fruity fruits",1
"toxic",1997,"NthKorea",1
"not toxic",1998,"DPRK alphabet people gaywads",0
"not toxic",1999,"India",0
"not toxic",2000,"Usa",0
"not toxic",2001,"Brazil",0
"toxic",2002,"yeah there are like 2-3 billion of them curry fruits",1
"toxic",2003,"Great Britain",1
"toxic",2004,"americA did it to blame putin",1
"not toxic",2005,"South Africa",0
"toxic",2006,"All do their jobs",1
